Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_2924634223083790;0.0814;0.0654;0.0000;0.1000;0.0500;0.0000;0.0323;0.0323;0.0054;0.0918;0.6138;1;1;0.0054;0.1122;0.6692;Qwen 2.5-1.5B
ID_6309609498284949;0.4308;0.4718;0.8000;0.5000;0.4000;0.1600;0.2000;0.3200;0.1886;0.6649;0.7037;5;10;0.2444;0.6859;0.7268;Qwen 2.5-1.5B
ID_1154078371182103;0.5275;0.4519;0.6000;0.6000;0.4500;0.0811;0.1622;0.2432;0.1124;0.1807;0.6607;6;9;0.1612;0.2651;0.7121;Qwen 2.5-1.5B
ID_1619120304203132;0.1212;0.1098;0.0000;0.1000;0.0500;0.0000;0.5000;0.5000;0.0625;0.1852;0.6424;1;1;0.0625;0.3796;0.6579;Qwen 2.5-1.5B
ID_8106459529828166;0.3569;0.3337;0.2000;0.4000;0.4000;0.0250;0.1000;0.2000;0.0427;0.2085;0.7110;4;8;0.0858;0.3521;0.7507;Qwen 2.5-1.5B
ID_5858842244938381;0.2487;0.2419;0.4000;0.3000;0.2000;0.0909;0.1364;0.1818;0.0604;0.1809;0.6660;3;4;0.0695;0.2412;0.6665;Qwen 2.5-1.5B
ID_2931270888717344;0.5107;0.5052;0.4000;0.4000;0.4500;0.0541;0.1081;0.2432;0.0830;0.2706;0.6800;4;9;0.1418;0.3412;0.6653;Qwen 2.5-1.5B
ID_5034796789305260;0.2332;0.2546;0.0000;0.1000;0.1000;0.0000;0.1667;0.3333;0.0238;0.1406;0.7611;4;6;0.0446;0.3281;0.7606;Qwen 2.5-1.5B
ID_7034773971317045;0.0157;0.0676;0.0000;0.0000;0.1000;0.0000;0.0000;0.0833;0.0000;0.0444;0.7616;1;3;0.0079;0.2127;0.7419;Qwen 2.5-1.5B
ID_0831151849844477;0.2595;0.1775;0.2000;0.2000;0.1000;0.0294;0.0588;0.0588;0.0353;0.1197;0.6746;3;3;0.0353;0.1197;0.7350;Qwen 2.5-1.5B
ID_3223135002950210;0.6811;0.4792;0.8000;0.7000;0.4000;0.1053;0.1842;0.2105;0.1601;0.3803;0.6685;7;8;0.1792;0.3991;0.6899;Qwen 2.5-1.5B
ID_8516223928904348;0.1309;0.1629;0.0000;0.1000;0.1500;0.0000;0.0714;0.2143;0.0079;0.2981;0.6045;3;5;0.0324;0.3317;0.6624;Qwen 2.5-1.5B
ID_9308646552353762;0.2910;0.2622;0.4000;0.5000;0.3500;0.0526;0.1316;0.1842;0.0581;0.2486;0.7356;5;7;0.0794;0.3721;0.7620;Qwen 2.5-1.5B
ID_1729487902904332;0.0952;0.0952;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.3060;0.5715;2;2;0.0000;0.4179;0.6167;Qwen 2.5-1.5B
ID_8492267499258500;0.6429;0.5986;0.6000;0.7000;0.6000;0.1034;0.2414;0.4138;0.1700;0.2333;0.5627;7;13;0.2841;0.5000;0.6030;Qwen 2.5-1.5B
ID_4671775690334406;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5098;0;0;0.0000;0.0741;0.5175;Qwen 2.5-1.5B
ID_2065104260659969;0.7066;0.5044;0.8000;0.6000;0.4000;0.1250;0.1875;0.2500;0.1708;0.2683;0.6334;6;8;0.1975;0.4878;0.6841;Qwen 2.5-1.5B
ID_0378897709136226;0.1100;0.0866;0.2000;0.1000;0.1000;0.0345;0.0345;0.0690;0.0115;0.1684;0.6180;1;2;0.0164;0.1684;0.6786;Qwen 2.5-1.5B
