Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_7721483148298785;0.4625;0.4357;0.4000;0.3000;0.1500;0.1667;0.2500;0.2500;0.2024;0.4156;0.2375;0.2024;0.4416;0.2598;3;3;Qwen3-1.7B-QLoRA
ID_7740917144757410;0.3220;0.3578;0.4000;0.4000;0.4000;0.0476;0.0952;0.1905;0.0369;0.3273;0.5547;0.0792;0.4521;0.4538;4;9;Qwen3-1.7B-QLoRA
ID_7881527576747420;0.2863;0.2155;0.2000;0.2000;0.1500;0.0303;0.0606;0.0909;0.0370;0.1168;0.5738;0.0421;0.1472;0.6095;2;3;Qwen3-1.7B-QLoRA
ID_7927416076958362;0.6283;0.5001;0.8000;0.7000;0.4500;0.1905;0.3333;0.4286;0.2523;0.4731;0.5789;0.2961;0.4839;0.4916;7;9;Qwen3-1.7B-QLoRA
ID_7927685281122435;0.2043;0.1628;0.4000;0.2000;0.1000;0.0741;0.0741;0.0741;0.0556;0.1016;0.4019;0.0556;0.1016;0.3892;2;2;Qwen3-1.7B-QLoRA
ID_7930540518087267;0.4239;0.3349;0.6000;0.4000;0.2000;0.1304;0.1739;0.1739;0.1203;0.1325;0.5112;0.1203;0.1325;0.4200;4;4;Qwen3-1.7B-QLoRA
ID_7967486980814458;0.2891;0.2250;0.4000;0.3000;0.2000;0.0417;0.0625;0.0833;0.0382;0.2685;0.6533;0.0451;0.2953;0.5836;3;4;Qwen3-1.7B-QLoRA
ID_8047078292358267;0.0893;0.1485;0.0000;0.1000;0.2000;0.0000;0.0192;0.0769;0.0024;0.0608;0.6480;0.0152;0.1937;0.6082;2;5;Qwen3-1.7B-QLoRA
ID_8049184468038869;0.6422;0.4144;0.8000;0.5000;0.2500;0.0833;0.1042;0.1042;0.1007;0.0574;0.1587;0.1007;0.0574;0.1587;5;5;Qwen3-1.7B-QLoRA
ID_8192385731123737;0.0851;0.0637;0.2000;0.1000;0.0500;0.0435;0.0435;0.0435;0.0087;0.1000;0.2113;0.0087;0.1000;0.2113;1;1;Qwen3-1.7B-QLoRA
ID_8209219651894646;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.2190;0.6248;0.0000;0.2190;0.5214;0;0;Qwen3-1.7B-QLoRA
ID_8237569228020224;0.0000;0.0851;0.0000;0.0000;0.1000;0.0000;0.0000;0.1250;0.0000;0.0857;0.7356;0.0161;0.0857;0.7133;0;2;Qwen3-1.7B-QLoRA
ID_8241999499678979;0.4537;0.2928;0.6000;0.3000;0.1500;0.0857;0.0857;0.0857;0.0786;0.2195;0.2012;0.0786;0.2215;0.2001;3;3;Qwen3-1.7B-QLoRA
ID_8391627429679768;0.8701;0.5616;1.0000;0.8000;0.4000;0.1429;0.2286;0.2286;0.2286;0.5931;0.1740;0.2286;0.6000;0.1971;8;8;Qwen3-1.7B-QLoRA
ID_8457699943400994;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0944;0.3980;0.0000;0.0987;0.3299;0;0;Qwen3-1.7B-QLoRA
ID_8479803539567479;0.2976;0.3407;0.2000;0.3000;0.3000;0.0435;0.1304;0.2609;0.0418;0.2490;0.4989;0.0875;0.2759;0.4339;6;9;Qwen3-1.7B-QLoRA
ID_8496716957724133;0.1584;0.2271;0.2000;0.2000;0.3000;0.0278;0.0556;0.1667;0.0125;0.2042;0.5736;0.0478;0.4187;0.5133;2;6;Qwen3-1.7B-QLoRA
ID_8586805521593519;0.2201;0.1420;0.2000;0.1000;0.0500;0.0256;0.0256;0.0256;0.0256;0.0697;0.1801;0.0256;0.0697;0.1819;1;1;Qwen3-1.7B-QLoRA
ID_8647270006257055;0.2701;0.1811;0.6000;0.3000;0.1500;0.1111;0.1111;0.1111;0.0593;0.0794;0.6775;0.0593;0.0794;0.6274;3;3;Qwen3-1.7B-QLoRA
