Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_7927416076958362;0.5638;0.4373;0.8000;0.4000;0.3000;0.1905;0.1905;0.2857;0.1905;0.5376;0.4918;0.2204;0.5484;0.5272;4;6;Qwen3-1.7B-QLoRA
ID_7927685281122435;0.3062;0.3534;0.2000;0.3000;0.3000;0.0370;0.1111;0.2222;0.0633;0.3203;0.6819;0.0940;0.3672;0.6657;3;6;Qwen3-1.7B-QLoRA
ID_7930540518087267;0.2603;0.2056;0.2000;0.4000;0.2000;0.0435;0.1739;0.1739;0.0719;0.2978;0.7143;0.0719;0.3545;0.7261;4;4;Qwen3-1.7B-QLoRA
ID_7967486980814458;0.2796;0.2825;0.4000;0.2000;0.3000;0.0417;0.0417;0.1250;0.0417;0.2483;0.7963;0.0646;0.5772;0.7907;2;7;Qwen3-1.7B-QLoRA
ID_8047078292358267;0.0000;0.0785;0.0000;0.0000;0.1000;0.0000;0.0000;0.0385;0.0000;0.1261;0.6147;0.0035;0.1689;0.6891;0;4;Qwen3-1.7B-QLoRA
ID_8049184468038869;0.5036;0.3250;0.4000;0.5000;0.2500;0.0417;0.1042;0.1042;0.0675;0.0885;0.6018;0.0675;0.0894;0.6645;5;5;Qwen3-1.7B-QLoRA
ID_8192385731123737;0.1586;0.2485;0.0000;0.4000;0.3500;0.0000;0.1739;0.3043;0.0516;0.2750;0.7411;0.1043;0.3500;0.7493;4;8;Qwen3-1.7B-QLoRA
ID_8209219651894646;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0095;0.4787;0.0000;0.0286;0.5873;0;0;Qwen3-1.7B-QLoRA
ID_8237569228020224;0.0432;0.0357;0.2000;0.1000;0.0500;0.0625;0.0625;0.0625;0.0125;0.2143;0.7678;0.0125;0.2143;0.6924;1;1;Qwen3-1.7B-QLoRA
ID_8241999499678979;0.2083;0.1685;0.2000;0.2000;0.1500;0.0286;0.0571;0.0857;0.0214;0.1863;0.3485;0.0265;0.1863;0.3578;2;3;Qwen3-1.7B-QLoRA
ID_8391627429679768;0.7273;0.5414;1.0000;0.6000;0.4000;0.1429;0.1714;0.2286;0.1714;0.5897;0.5990;0.2010;0.6276;0.6728;6;8;Qwen3-1.7B-QLoRA
ID_8457699943400994;0.1389;0.1565;0.2000;0.1000;0.1000;0.0625;0.0625;0.1250;0.0312;0.0773;0.6717;0.0391;0.3348;0.6855;1;3;Qwen3-1.7B-QLoRA
ID_8479803539567479;0.3975;0.3946;0.4000;0.5000;0.4000;0.0870;0.2174;0.3478;0.0959;0.3103;0.6162;0.1643;0.3946;0.7451;8;11;Qwen3-1.7B-QLoRA
ID_8496716957724133;0.2431;0.1569;0.2000;0.3000;0.1500;0.0278;0.0833;0.0833;0.0245;0.1696;0.7699;0.0245;0.2076;0.6465;3;3;Qwen3-1.7B-QLoRA
ID_8586805521593519;0.2201;0.2198;0.2000;0.1000;0.1500;0.0256;0.0256;0.0769;0.0256;0.1474;0.6525;0.0347;0.2769;0.6700;1;4;Qwen3-1.7B-QLoRA
ID_8647270006257055;0.5344;0.4111;0.8000;0.5000;0.3500;0.1481;0.1852;0.2593;0.1500;0.1264;0.6598;0.1811;0.1408;0.7037;6;8;Qwen3-1.7B-QLoRA
ID_8659496864305621;0.0000;0.0835;0.0000;0.0000;0.1000;0.0000;0.0000;0.1250;0.0000;0.0758;0.6426;0.0120;0.1754;0.7376;0;2;Qwen3-1.7B-QLoRA
ID_8696858608013659;0.2935;0.2798;0.2000;0.2000;0.2500;0.0323;0.0645;0.1613;0.0415;0.1945;0.1636;0.0649;0.2219;0.2677;2;5;Qwen3-1.7B-QLoRA
ID_8703127071027272;0.5795;0.4212;0.8000;0.5000;0.3500;0.0930;0.1163;0.1628;0.0893;0.1429;0.5905;0.1057;0.1429;0.6788;5;7;Qwen3-1.7B-QLoRA
ID_8884890472193474;0.1245;0.3187;0.2000;0.1000;0.3000;0.0833;0.0833;0.5000;0.0278;0.2000;0.5971;0.1403;0.3714;0.4894;2;8;Qwen3-1.7B-QLoRA
ID_8970751075617926;0.4073;0.3038;0.6000;0.4000;0.2000;0.1667;0.2222;0.2222;0.1287;0.1825;0.6022;0.1287;0.1866;0.6870;4;4;Qwen3-1.7B-QLoRA
ID_9092587237114334;0.1483;0.0957;0.2000;0.1000;0.0500;0.0303;0.0303;0.0303;0.0152;0.0387;0.5438;0.0152;0.0516;0.7017;2;2;Qwen3-1.7B-QLoRA
ID_9273702863744424;0.2436;0.3142;0.4000;0.3000;0.4000;0.0526;0.0789;0.2105;0.0250;0.0658;0.7236;0.0744;0.1798;0.7317;3;8;Qwen3-1.7B-QLoRA
ID_9274817658247444;0.0482;0.1984;0.0000;0.1000;0.3000;0.0000;0.0400;0.2400;0.0044;0.0800;0.5719;0.0517;0.1600;0.6707;2;7;Qwen3-1.7B-QLoRA
ID_9350794843721516;0.4978;0.4049;0.6000;0.5000;0.3500;0.1000;0.1667;0.2333;0.1052;0.2459;0.7237;0.1294;0.2787;0.7230;5;8;Qwen3-1.7B-QLoRA
ID_9430398566741698;0.2571;0.2070;0.2000;0.4000;0.2500;0.0333;0.1333;0.1667;0.0422;0.2298;0.6996;0.0550;0.3437;0.6800;4;5;Qwen3-1.7B-QLoRA
ID_9542837933586912;0.3826;0.3306;0.6000;0.3000;0.1500;0.2143;0.2143;0.2143;0.1369;0.6111;0.6566;0.1369;0.6296;0.6717;4;4;Qwen3-1.7B-QLoRA
ID_9763437636509266;0.0402;0.0807;0.0000;0.1000;0.1000;0.0000;0.0625;0.1250;0.0078;0.0802;0.7310;0.0148;0.1711;0.7735;2;5;Qwen3-1.7B-QLoRA
ID_9836776931160228;0.3423;0.4044;0.4000;0.4000;0.4000;0.1111;0.2222;0.4444;0.1079;0.2222;0.6843;0.2226;0.3248;0.6317;4;8;Qwen3-1.7B-QLoRA
ID_9848311210578810;0.2832;0.2496;0.4000;0.3000;0.3000;0.0435;0.0652;0.1304;0.0290;0.0820;0.6124;0.0491;0.1255;0.6534;3;6;Qwen3-1.7B-QLoRA
ID_9856332816841794;0.2874;0.2907;0.0000;0.4000;0.3500;0.0000;0.1081;0.1892;0.0344;0.1604;0.7024;0.0653;0.3585;0.7719;4;7;Qwen3-1.7B-QLoRA
